
10,8	970,970

10,8	25,21
36,8	118,21
128,8	171,21

10,41	20,525
90,23	98,365
163,112 168,365
24,197	91,201
40,291	149,296

30,115	73,142
29,159	75,197
29,202	75,241
122,186	163,222
118,123	150,179

41,295	63,333
66,295	90,333
98,295	122,333
125,295	144,333
41,345	63,359
66,345	90,359
98,345	122,359
125,345	144,359


172,38	196,59
172,75	196,98
172,100	196,122
172,140	196,163
172,197	196,219
172,236	196,261
172,266	196,288
172,306	196,328
201,38	229,59
201,75	229,98
201,100	229,122
201,140	229,163
201,197	229,219
201,236	229,261
201,266	229,288
201,306	229,328
509,38	533,59
509,75	533,98
509,100	533,122
509,140	533,163
509,197	533,219
509,236	533,261
509,266	533,288
509,306	533,328
537,38	566,59
537,75	566,98
537,100	566,122
537,140	566,163
537,197	566,219
537,236	566,261
537,266	566,288
537,306	566,328

245,26	293,31
245,93	293,108
245,170	293,188
245,251	293,269
245,331	293,338
312,26	358,31
312,93	358,108
312,170	358,188
312,251	358,269
312,331	358,338
376,26	424,31
376,93	424,108
376,170	424,188
376,251	424,269
376,331	424,338
443,26	491,31
443,93	491,108
443,170	491,188
443,251	491,269
443,331	491,338
579,26	628,31
579,93	628,108
579,170	628,188
579,251	628,269
579,331	628,338
645,26	696,31
645,93	696,108
645,170	696,188
645,251	696,269
645,331	696,338
711,26	760,31
711,93	760,108
711,170	760,188
711,251	760,269
711,331	760,338
777,26	828,31
777,93	828,108
777,170	828,188
777,251	828,269
777,331	828,338


245,59	293,66
245,137	293,144
245,217	293,224
245,296	293,302
312,59	358,66
312,137	358,144
312,217	358,224
312,296	358,302
376,59	424,66
376,137	424,144
376,217	424,224
376,296	424,302
443,59	491,66
443,137	491,144
443,217	491,224
443,296	491,302
579,59	628,66
579,137	628,144
579,217	628,224
579,296	628,302
645,59	696,66
645,137	696,144
645,217	696,224
645,296	696,302
711,59	760,66
711,137	760,144
711,217	760,224
711,296	760,302
777,59	828,66
777,137	828,144
777,217	828,224
777,296	828,302


229,20	239,344
289,20	299,344
364,20	374,344
429,20	439,344
489,20	499,344
567,20	577,344
635,20	645,344
701,20	711,344
766,20	776,344
837,20	847,344



20,364	171,407
20,412	94,455

20,364	36,403
55,374	90,404
97,382	108,407
119,379	152,401
164,368	170,375
162,389	171,407
21,412	25,424
21,424	36,450
46,424	79,445
113,436	154,451


12,526	96,965

166,528	92,543
166,548	92,563
166,568	92,583
166,588	92,603
166,608	92,623
166,628	92,643
166,648	92,663
166,668	92,683
166,688	92,703
166,708	92,723
166,728	92,743
166,748	92,763
166,768	92,783
166,788	92,803
166,808	92,823
166,828	92,843
166,848	92,863
166,868	92,883
166,888	92,903
166,908	92,923
166,928	92,943
166,948	92,963

43,527	61,963
43,748	92,763

52,723	92,748

124,576	145,660
149,576	170,660
124,664	145,778
149,664	170,778
95,778	114,809
114,778	170,835
96,665	112,687
96,877	112,897
22,467	94,503
99,464	123,496
129,509	170,529
174,346	849,348
343,349	504,372
680,349 845,372
878,440	959,496

130,491	170,500
131,532	172,566

95,547	120,550
95,747	122,752
118,784	150,814
152,780	168,828
98,863	123,865
14,963	27,966

172,379	275,438
509,379	614,438
174,538	277,601
513,538	618,598
174,626	244,667
513,626	586,667
174,728	244,758
513,725	588,757
378,627	442,707
720,629	790,707



869,18	967,594
888,684	967,954

872,37	964,285
872,304	964,594
892,686	923,950
932,686	963,950
847,173	871,259

892,752	935,828
898,30	928,285
872,441	890,478
909,441	923,470
933,440	950.477
892,753	915,796
892,817	915,825
848,35	868,38
852,309	869,311
853,321	871,327
860,442	867,603
853,603 885,606
887,628	930,652
887,658	930,675
869,652	886,713

848,93	866,99
848,125	866,129
848,155	866,163
848,260	866,265
848,290	866,295
848,377 866,342
848,355	866,340
860,618	867,613
860,723	867,728
896,440	907,470
925,440	932,470
941,487	952,492
941,627 960,649
941,659	960,676
901,724	914,743
927,137	935,184
896,134	908,183
911,171	929,183

174,638	245,668
175,726	246,758
515,638	586,666
515,726	586,758
355,407	366,433
355,464 366,492
692,407	707,433
692,464 707,492
414,426 437,448
414,463	437,496
754,426 779,448
754,463	779,496

280,385	309,412
617,385	647,412
279,419	318,441
618,419	657,411
322,375	344,392
659,375	684,392
324,399 342,411
665,399	683,411
329,424	344,431
667,424	682,427
387,447	305,461
626,455 644,461
318,445	348,505
655,445	688,505
280,518	318,563
619,518	658,563
320,545	352,563
662,545	692,563
591,494	615,539
249,494	274,539
202,507	247,528
540,507	587,528
176,501	200,511
517,501	540,511
174,604	224,627
513,604	563,627
249,601	310,625
584,601	650,625
315,574	344,626
656,574	683,526
176,763	328,803
518,763	670,803
177,812	328,880
520,812	670,880
177,891	328,954
520,891	670,954
259,719	303,745
601,719	646,745
306,715	327,882
647,716	670,882
327,639	342,708
666,639	682,708
344,724	361,756
684,724	703,756
338,767	362,890
677,766	703,890
350,590	377,625
691,589	717,625
356,638	377,709
696,637	720,709
450,549	514,723
789,547	857,723
414,762	514,884
757,762	859,884
473,893	516,954
814,893	859,954
373,393	384,405
715,393	725,405
373,493	387,505
713,493	726,505
441,385	507,459
782,385	846,457
366,760	403,947
709,760	747,947
174,451	275,480
512,449	614,478

173,439	274,451
511,439	614,451
173,481	274,492
511,481	614,492
174,666	245,725
514,666	586,725
390,404	408,435
390,465	408,493
730,404	749,435
730,465	749,493
442,473	473,525
479,473	510,525
782,473	813,525
819,473	853,525
376,852	393,889
376,899	393,949
717,852	738,889
717,899	738,949
436,894	466,908
778,894,809,913



